Title,Author,Objective,Methodology,Results,Recommendation,APA,Section,Verified?
"General System Theory: Foundations, Development, Applications","Bertalanffy, L. von (1968)",To establish Systems Theory as a framework for understanding how interrelated components function together as a unified system.,Theoretical/conceptual development of General Systems Theory.,"Systems composed of interrelated parts must be understood holistically, since a change in one component affects the performance of the whole system.","Apply systems thinking when studying complex, multi-component processes such as infrastructure planning and monitoring.","Bertalanffy, L. von. (1968). General system theory: Foundations, development, applications. George Braziller. https://tomek.org/files/general_system_theory_foundations_development_applications.pdf",Theoretical framework,OK
Monitoring Corruption: Evidence from a Field Experiment in Indonesia,"Olken, B. A. (2007)","To measure corruption in village road projects directly, and to test whether top-down government audits or bottom-up community monitoring more effectively reduce it.","Randomised field experiment over 600+ Indonesian village road projects. Engineers took core samples from completed roads and independently estimated the prices and quantities of all inputs actually used; this estimate was differenced against the village's official expenditure report to yield a measure of ""missing expenditures."" Audit probability and community-monitoring treatments were randomly assigned.","Raising the probability of a government audit from 4% to 100% reduced missing expenditures by about eight percentage points. Increasing grassroots participation in monitoring had little average effect, reducing missing expenditures only where free-rider problems and elite capture were limited.","Verify delivery by independently measuring the physical work and reporting the discrepancy against the paper record as a quantity rather than an allegation. Retain top-down audit, since community monitoring alone is not sufficient.","Olken, B. A. (2007). Monitoring corruption: Evidence from a field experiment in Indonesia. Journal of Political Economy, 115(2), 200-249. https://doi.org/10.1086/517935",Measuring missing delivery,OK
An Objective Corruption Risk Index Using Public Procurement Data,"Fazekas, M., Toth, I. J., & King, L. P. (2016)","To construct an objective, contract-level indicator of institutionalised corruption in public procurement using administrative data alone, rather than perception surveys.","Big-data analysis of electronic public procurement records in Hungary. Individual ""red flags"" associated with restricted competition and recurrent award to the same firm were identified and composed into a Corruption Risk Index (CRI) at contract level, aggregable to organisation, sector, region and country. Validated indirectly against firm-level correlates.","Firms with higher CRI scores showed higher profitability, higher ratios of contract value to initial estimated price, greater likelihood of being managed or owned by politicians, and greater likelihood of registration in tax havens. Single bidding emerged as the strongest individual red flag.","Build corruption-risk measures from objective administrative data, and where confirmed cases are unavailable, validate the risk score against observable correlates of corruption rather than against a ground-truth list.","Fazekas, M., Toth, I. J., & King, L. P. (2016). An objective corruption risk index using public procurement data. European Journal on Criminal Policy and Research, 22(3), 369-397. https://doi.org/10.1007/s10610-016-9308-z",Procurement red flags,OK
Uncovering High-Level Corruption: Cross-National Objective Corruption Risk Indicators Using Public Procurement Data,"Fazekas, M., & Kocsis, G.",To extend objective procurement-based corruption risk indicators to cross-national comparison.,TO COMPLETE from full text,TO COMPLETE from full text,Use cross-nationally comparable procurement indicators where national ground truth is absent.,"Fazekas, M., & Kocsis, G. Uncovering high-level corruption: Cross-national objective corruption risk indicators using public procurement data. British Journal of Political Science. [volume, issue, pages and year to be confirmed]",Procurement red flags,CHECK CITATION + CELLS
From Corruption to State Capture: A New Analytical Framework with Empirical Applications from Hungary,"Fazekas, M., & Toth, I. J. (2016)",To distinguish ordinary corruption from state capture and provide an empirical framework for measuring the latter.,TO COMPLETE from full text,TO COMPLETE from full text,Distinguish isolated corrupt transactions from systemic capture when interpreting concentration of awards among a small set of firms.,"Fazekas, M., & Toth, I. J. (2016). From corruption to state capture: A new analytical framework with empirical applications from Hungary. Political Research Quarterly. https://doi.org/10.1177/1065912916639137",Procurement red flags,CHECK CELLS / CITATION DETAIL
A Method to Assess Corruption Risks in Public Procurement,International Monetary Fund (2022),To provide a replicable method for assessing corruption risk in public procurement systems using available transaction data.,TO COMPLETE from full text,TO COMPLETE from full text,Apply standardised corruption-risk assessment to national procurement data as part of fiscal governance review.,International Monetary Fund. (2022). A method to assess corruption risks in public procurement. IMF Working Paper. https://www.elibrary.imf.org/downloadpdf/view/journals/001/2022/094/article-A001-en.pdf,Procurement red flags,CHECK CELLS / CITATION DETAIL
Red Flags in Public Procurement: A Guide to Using Data to Detect and Mitigate Risks,Open Contracting Partnership (2024),"To codify a practical, formula-level set of procurement corruption and collusion indicators mapped to the Open Contracting Data Standard.","Practitioner synthesis: 73 red-flag indicators are defined with explicit formulas and mapped to OCDS fields; accompanied by Cardinal, an open-source library that computes them over OCDS data, deployed in Ecuador and the Dominican Republic.","Provides a reusable indicator standard, but each indicator depends on specific published fields. Where a procurement portal does not publish bidder counts or approved budget ceilings, the indicators carrying most diagnostic weight cannot be computed at all.","Adopt the standard where the data supports it, and state explicitly which indicators are not derivable from the national portal rather than substituting weaker proxies silently.",Open Contracting Partnership. (2024). Red flags in public procurement: A guide to using data to detect and mitigate risks. https://www.open-contracting.org/wp-content/uploads/2024/12/OCP2024-RedFlagProcurement-1.pdf,Procurement red flags,OK
Regional Favoritism,"Hodler, R., & Raschky, P. A. (2014)",To test whether political leaders direct public resources disproportionately toward their birth regions.,"Panel analysis of 38,427 subnational administrative regions across 126 countries with annual observations from 1992 to 2009, using satellite-observed nighttime light intensity as a proxy for regional economic activity and public investment, keyed to the birthplaces of national political leaders.",Regions emit significantly more nighttime light while serving as the birth region of the incumbent leader (approximately 4% more light and 1% higher regional GDP). The effect is strongest in countries with weak political institutions and poorly educated citizens; foreign aid inflows and oil rents amplify it in weakly institutionalised countries.,"Use satellite-derived measures as independent evidence on the allocation of public money, since remotely sensed data is not reported by the actor being scrutinised and is therefore resistant to strategic manipulation.","Hodler, R., & Raschky, P. A. (2014). Regional favoritism. The Quarterly Journal of Economics, 129(2), 995-1033. https://doi.org/10.1093/qje/qju004",Satellite evidence on public resources,OK
"A Primer on Geospatial Impact Evaluation Methods, Tools and Applications","AidData / BenYishay, A., et al. (2017)",To document methods for evaluating development project impacts remotely and retrospectively using georeferenced intervention data fused with remotely sensed outcomes.,"Methodological primer synthesising quasi-experimental causal inference applied to geocoded aid projects combined with satellite observations (nighttime lights, 10 m optical imagery), geo-referenced surveys and cloud computing platforms.","Where precisely georeferenced intervention data are fused with remotely sensed outcome data, quasi-experimental methods can control for confounders at fine geographic resolution and be implemented without field access.","Where field inspection is infeasible, use georeferenced project records with remotely sensed outcomes, and treat location precision as an explicit parameter of the design.","BenYishay, A., Runfola, D., Trichler, R., Dolan, C., Goodman, S., Parks, B., Tanner, J., Heuser, S., Batra, G., & Anand, A. (2017). A primer on geospatial impact evaluation methods, tools, and applications (AidData Working Paper No. 44). AidData at William & Mary. https://docs.aiddata.org/ad4/files/wps44_a_primer_on_geospatial_impact_evaluation_methods_tools_and_applications.pdf",Satellite evidence on public resources,CHECK CELLS / CITATION DETAIL
"Geocoding Methodology, Version 2.0.2",AidData (2017),"To standardise how development project locations are coded, including how confidently each project can be located.",Documentation of a double-blind geocoding procedure in which project locations are extracted from project documents and assigned an explicit precision code recording the geographic confidence of each coded point; adopted into the IATI Standard.,"Project-record coordinates are systematically unreliable across countries and donors, which is why an explicit precision code is required rather than treating any published coordinate as exact.","Treat unreliable or missing coordinates in project records as a documented, general data-quality problem with an established coding vocabulary, rather than as evidence about any single implementing agency.","AidData. (2017). Geocoding methodology, version 2.0.2. AidData at William & Mary. https://docs.aiddata.org/ad4/files/geocoding-methodology-updated-2017-06.pdf",Satellite evidence on public resources,OK
